,Date,Open,High,Low,Close,Volume,Diff,isLarger
134,2024-06-20,314.63,317.73,298.0,306.16,11374572,0.9126804323904452,0
135,2024-06-18,285.31,289.91,284.39,285.35,5314911,6.797099555787824,0
136,2024-06-17,286.23,288.6,283.95,285.53,3559587,-0.06308042754510268,1
137,2024-06-14,281.41,286.95,280.71,286.71,2966211,-0.41326655692921577,1
138,2024-06-13,287.67,289.5471,282.09,282.32,3119248,1.5311638938299978,0
139,2024-06-12,291.63,294.15,285.44,285.73,3749585,-1.2078492490790609,1
140,2024-06-11,290.12,294.31,288.79,294.22,2457624,-2.971336576488298,1
141,2024-06-10,287.38,290.52,287.0,290.43,2510107,1.2881517232003432,0
142,2024-06-07,291.44,291.81,288.15,288.4,2626974,0.6989636056881352,0
143,2024-06-06,291.2,293.87,290.6,291.74,2363205,-1.1581137309292728,1
144,2024-06-05,288.26,292.31,288.06,291.02,3002215,0.24679509151985712,0
145,2024-06-04,281.76,288.88,280.34,288.06,3498601,1.0171122259638423,0
146,2024-06-03,286.35,287.52,280.71,281.76,3596609,2.1870443657571457,0
147,2024-05-31,284.8,285.39,278.69,282.29,6882088,-0.18810335036911852,1
148,2024-05-30,289.97,290.5,284.29,284.8,5007994,-0.8891565411456241,1
149,2024-05-29,294.15,296.0996,291.01,293.77,4479999,-3.1495786516853883,1
150,2024-05-28,299.37,300.32,295.82,297.73,3530301,-1.3479933281138443,1
151,2024-05-24,306.89,307.46,300.335,300.99,2048661,-1.0949518019682074,1
152,2024-05-23,310.14,310.99,304.5601,305.93,2526304,-1.6412505398850357,1
153,2024-05-22,303.96,308.19,303.69,307.11,2432422,-0.385709149151765,1
154,2024-05-21,306.79,307.15,302.96,303.64,1866555,1.1298883136335576,0
155,2024-05-20,303.51,307.07,301.61,305.7,2418094,-0.678434988802536,1
156,2024-05-17,309.74,310.0,300.01,303.59,4232001,0.6902191691200557,0
157,2024-05-16,309.66,310.59,306.75,308.0,2583058,-1.4526170163707661,1
158,2024-05-15,305.0,308.52,301.44,308.52,4230864,-0.16883116883117566,1
159,2024-05-14,308.9,312.29,306.22,306.95,1813613,0.5088811098145953,0
160,2024-05-13,308.15,308.8,306.88,307.41,1695055,-0.14986154096759208,1
161,2024-05-10,308.0,309.26,306.06,306.33,1786950,0.3513223382453532,0
