Date,Open,High,Low,Close,Volume
2023-08-17,176.239,176.602,172.597,173.115,66400931.057962
2023-08-16,176.229,177.631,175.602,175.671,47205179.934536
2023-08-15,177.969,178.567,176.149,176.547,43845813.301977
2023-08-14,177.064,178.775,176.402,178.547,43899118.681202
2023-08-11,176.417,177.711,175.651,176.885,52302947.818077
2023-08-10,178.326,179.587,176.457,176.825,55040912.972471
2023-08-09,179.706,179.766,175.87,177.045,60769403.664896
2023-08-08,178.535,179.111,176.438,178.643,68262113.056292
2023-08-07,180.959,181.951,176.21,177.7,98207810.905491
2023-08-04,184.327,186.175,180.751,180.82,116707586.51003
2023-08-03,190.339,191.132,189.464,189.94,62646266.973444
2023-08-02,193.786,193.926,190.616,191.341,50715565.28549
2023-08-01,194.972,195.466,194.024,194.346,35509850.402808
2023-07-31,194.799,195.226,194.004,195.186,39075474.008667
2023-07-28,193.417,195.362,192.891,194.571,48604098.844127
2023-07-27,194.76,195.931,191.311,191.976,47767453.95411
2023-07-26,192.425,194.381,192.076,193.249,47779217.626347
2023-07-25,192.086,193.19,191.675,192.375,37524585.600588
2023-07-24,192.166,193.656,191.014,191.51,45799713.056816
2023-07-21,192.851,193.716,190.0,190.705,72417523.587632
2023-07-20,193.836,195.206,191.256,191.888,59966945.689224
2023-07-19,191.858,196.956,191.41,193.846,81028555.820294
2023-07-18,192.106,193.081,191.177,192.484,48666833.397017
2023-07-17,190.665,193.071,190.575,192.741,50847244.338029
2023-07-14,189.005,189.95,188.41,189.464,41885680.237161
2023-07-13,189.275,189.96,188.56,189.315,41610002.886004
2023-07-12,188.46,190.466,187.257,188.55,61143566.544433
2023-07-11,187.943,188.082,185.399,186.87,46940070.641089
2023-07-10,188.042,188.769,185.832,187.397,60310120.22991
2023-07-07,190.179,191.43,189.015,189.454,47118094.818156
2023-07-06,188.62,190.785,187.983,190.575,45448364.93791
2023-07-05,190.334,191.739,189.395,190.1,47224039.327966
2023-07-03,192.534,192.633,190.525,191.221,31661869.475512
2023-06-30,190.397,193.229,190.03,192.721,85764916.432294
2023-06-29,187.865,188.847,187.725,188.37,46647376.828048
2023-06-28,186.721,188.679,186.394,188.032,51548396.644183
2023-06-27,184.694,187.178,184.475,186.85,51059295.400019
2023-06-26,186.117,186.84,184.039,184.079,48400003.961896
2023-06-23,184.357,186.354,183.82,185.479,53460894.177196
2023-06-22,182.558,185.842,182.489,185.797,51577107.331574
2023-06-21,183.711,184.217,181.416,182.776,49836279.096564
2023-06-20,183.224,184.902,183.224,183.82,50121508.895805
2023-06-16,185.529,185.787,183.085,183.731,101911793.53417
2023-06-15,182.776,185.319,182.598,184.814,65856803.408176
2023-06-14,182.191,183.204,180.85,182.766,57834916.976831
2023-06-13,181.624,182.966,181.266,182.131,55284759.565743
2023-06-12,180.105,182.707,179.806,182.608,55109498.160775
2023-06-09,180.332,181.057,179.467,179.796,49216568.682098
2023-06-08,176.75,179.676,176.319,179.407,50539989.860524
2023-06-07,177.292,180.046,176.18,176.676,62345666.297886
2023-06-06,178.807,178.961,176.289,178.057,65268225.258394
2023-06-05,181.456,183.761,176.89,178.425,122736021.65674
2023-06-02,179.866,180.611,178.106,179.786,62398302.893594
2023-06-01,176.557,178.961,175.793,178.931,69347903.627049
2023-05-31,176.185,178.196,175.624,176.11,100270297.27247
2023-05-30,175.82,177.839,175.435,176.16,56326734.28202
2023-05-26,172.205,174.64,171.997,174.3,55189995.97952
2023-05-25,171.3,172.776,170.585,171.878,56421198.945361
2023-05-24,169.989,171.309,169.423,170.734,45435762.872537
2023-05-23,172.017,172.265,170.173,170.458,51075818.68947
2023-05-22,172.86,173.585,172.335,173.08,43853025.590035
2023-05-19,175.255,175.255,173.815,174.034,56170805.236423
2023-05-18,171.888,174.113,171.47,173.925,65920705.471316
2023-05-17,170.605,171.813,169.323,171.579,58326803.13553
2023-05-16,170.883,172.025,170.693,170.963,42382929.897687
2023-05-15,172.045,172.095,170.368,170.963,37507936.501843
2023-05-12,172.503,172.94,169.899,171.46,45827935.604145
2023-05-11,172.493,173.227,170.825,172.393,49904183.885183
2023-05-10,171.669,172.673,170.559,172.2,54147125.531907
2023-05-09,171.699,172.185,170.261,170.431,45683438.482694
2023-05-08,171.135,172.493,170.766,172.145,56403025.086955
2023-05-05,169.642,172.939,169.427,172.215,114345651.94249
2023-05-04,163.604,165.736,163.027,164.497,81874466.612674
2023-05-03,168.178,169.587,165.856,166.142,65648411.388587
2023-05-02,168.763,169.02,166.232,167.224,48806637.408916
2023-05-01,167.959,169.119,167.324,168.267,52885715.078484
2023-04-28,167.175,168.523,166.57,168.355,55710679.248189
2023-04-27,163.9,167.244,163.9,167.095,65412884.070829
2023-04-26,161.782,163.989,161.529,162.481,45856712.90949
2023-04-25,163.9,165.007,162.452,162.491,49097272.85192
2023-04-24,163.713,164.308,162.611,164.039,42279577.96049
2023-04-21,163.762,165.154,163.205,163.732,58796252.501715
2023-04-20,164.793,166.56,164.268,165.349,52869025.816881
