,Date,Open,High,Low,Close,Volume,Diff,isLarger
145,2024-06-04,164.6,166.4,163.88,165.81,2594203,0.9379854223921598,0
146,2024-06-03,166.54,166.78,163.53,165.28,2776058,0.3196429648392751,1
147,2024-05-31,165.7,166.97,163.84,166.85,4905002,-0.9499031945788801,0
148,2024-05-30,165.56,166.73,164.23,165.63,3852963,0.7311956847467798,1
149,2024-05-29,168.0,168.63,166.21,167.05,4206576,-0.8573326088269226,1
150,2024-05-28,170.44,171.085,168.65,169.66,2629645,-1.562406465130195,1
151,2024-05-24,171.48,172.01,170.21,170.89,2587829,-0.7249793705057073,0
152,2024-05-23,175.39,175.46,170.435,170.67,3341335,0.1287377845397515,1
153,2024-05-22,173.39,174.99,172.76,173.69,3294900,-1.76949668951778,0
154,2024-05-21,169.94,174.97,169.94,173.47,6459800,0.12666244458517895,0
155,2024-05-20,169.0,170.16,168.38,169.92,2726261,2.0464633654234206,0
156,2024-05-17,168.97,169.11,167.33,169.03,2956387,0.523775894538602,0
157,2024-05-16,168.26,169.63,167.79,168.97,3492267,0.03549665739809882,0
158,2024-05-15,167.94,168.35,167.34,168.26,4468823,0.42019293365686394,0
159,2024-05-14,167.86,168.13,166.48,167.36,2600967,0.5348864852014543,1
160,2024-05-13,167.5,168.06,166.76,167.56,2414859,-0.11950286806883526,0
161,2024-05-10,167.13,168.07,166.32,167.15,2255370,0.24468846980185788,0
162,2024-05-09,167.5,167.55,165.88,166.27,4266616,0.5264732276398405,1
163,2024-05-08,168.01,170.26,167.9,169.9,3522011,-2.1831960064954643,0
164,2024-05-07,169.0,169.29,167.94,168.38,3155260,0.894643908181294,1
165,2024-05-06,166.5,168.67,166.38,168.61,4222266,-0.1365957952250909,0
166,2024-05-03,165.0,166.61,164.92,165.71,3400405,1.7199454362137487,0
167,2024-05-02,164.35,164.88,162.62,164.69,3829853,0.6155331603403624,0
168,2024-05-01,165.69,166.27,164.3,164.43,4030960,0.1578723662638879,1
169,2024-04-30,166.49,166.76,165.2605,166.2,6011634,-1.0764459040321128,1
170,2024-04-29,167.4,168.22,166.225,167.43,5263342,-0.7400722021660755,0
171,2024-04-26,167.5,167.87,165.73,167.13,8983796,0.17917935853790823,1
172,2024-04-25,168.2,172.45,165.66,168.91,16702150,-1.0650391910488821,1
173,2024-04-24,183.17,184.29,181.4,184.1,7616643,-8.992954828014916,0
174,2024-04-23,182.73,184.68,179.0,182.19,5950229,1.0374796306355165,0
175,2024-04-22,182.45,183.315,180.45,181.9,3076451,0.15917448817168633,0
176,2024-04-19,182.43,182.8,180.57,181.59,3037624,0.17042330951072415,0
177,2024-04-18,182.35,183.46,180.17,181.47,2886733,0.06608293408227439,1
178,2024-04-17,184.16,184.67,181.78,183.1,3003033,-0.8982200914751814,1
179,2024-04-16,185.59,185.71,182.86,183.75,4473654,-0.35499726925178265,0
180,2024-04-15,185.57,187.48,180.88,181.25,3528140,1.3605442176870781,1
181,2024-04-12,184.0,185.1699,181.685,182.27,3547378,-0.5627586206896638,1
182,2024-04-11,186.04,186.795,184.58,185.9,2861736,-1.9915509957754978,1
183,2024-04-10,187.42,187.915,185.52,186.04,3081915,-0.07530930607853747,1
184,2024-04-09,190.54,191.25,186.66,189.31,2794381,-1.7576865190281694,1
185,2024-04-08,189.24,190.24,188.9118,189.82,2678284,-0.2693993978131033,0
186,2024-04-05,188.59,190.32,188.02,189.14,2014264,0.3582341165314489,0
187,2024-04-04,192.0,193.28,187.34,187.94,2983853,0.6344506714602858,1
188,2024-04-03,188.6,191.35,188.485,190.9,2826193,-1.5749707353410685,0
189,2024-04-02,189.14,189.8,187.6,188.88,2693455,1.058145625982192,1
190,2024-04-01,190.0,190.46,188.52,189.83,2364320,-0.5029648454045059,1
191,2024-03-28,190.94,191.9299,190.34,190.96,3742169,-0.5952694516146124,0
192,2024-03-27,189.6,190.96,188.6,190.8,3693305,0.08378718056137302,0
193,2024-03-26,189.02,190.0,188.5,188.5,4229535,1.2054507337526275,1
194,2024-03-25,190.26,190.82,188.75,188.79,3718289,-0.1538461538461462,1
195,2024-03-22,192.0,192.985,190.51,190.84,3988398,-1.0858625986546002,1
196,2024-03-21,193.0,193.37,190.01,191.9,6013561,-0.5554391112974315,1
197,2024-03-20,192.87,193.98,191.31,193.96,3238643,-1.0734757686295069,0
198,2024-03-19,191.49,193.58,190.28,193.34,5317341,0.31965353681171393,0
199,2024-03-18,191.7,193.23,190.32,191.69,5410562,0.8534188476259459,0
200,2024-03-15,191.99,193.0573,190.7,191.07,8828184,0.323438885700881,1
201,2024-03-14,196.95,197.748,192.12,193.43,4109636,-1.2351494216779315,1
202,2024-03-13,197.55,198.1,195.32,196.7,3993258,-1.6905340433231544,1
203,2024-03-12,192.46,199.18,192.15,197.78,5880075,-0.5490594814438339,0
204,2024-03-11,195.09,195.3775,190.88,191.73,4725057,3.058954393770861,1
205,2024-03-08,196.06,197.77,194.38,195.95,3943113,-2.20101183956605,1
206,2024-03-07,197.58,198.73,196.14,196.54,4604458,-0.3010972186782368,0
207,2024-03-06,193.5,198.13,192.96,196.16,6945818,0.1933448661850008,0
208,2024-03-05,192.0,193.94,190.57,191.95,5653641,2.146207177814034,1
209,2024-03-04,187.76,193.898,187.6,193.06,7938266,-0.5782755926022389,0
210,2024-03-01,185.49,188.38,185.18,188.2,4018354,2.5173521185123775,0
211,2024-02-29,186.15,186.8495,184.69,185.03,6458487,1.684378320935167,1
212,2024-02-28,184.63,185.37,183.55,185.3,3216345,-0.14592228287304465,0
213,2024-02-27,184.16,185.13,182.62,184.87,3641378,0.2320561252023765,0
214,2024-02-26,185.6,186.125,184.06,184.13,4620815,0.40028127873641495,1
215,2024-02-23,184.9,186.455,184.57,185.72,3433800,-0.8635203388910071,0
216,2024-02-22,182.45,184.55,181.93,184.21,5078398,0.8130519060951968,0
217,2024-02-21,182.56,183.03,178.75,179.7,4728473,2.4482927094077525,1
218,2024-02-20,187.64,188.77,183.06,183.44,4247181,-2.0812465219811003,1
219,2024-02-16,186.63,188.95,185.9452,187.64,4842840,-2.2895769733972884,0
220,2024-02-15,183.62,186.98,183.62,186.87,4714301,0.4103602643359494,0
221,2024-02-14,185.0,185.0,182.26,183.57,3173391,1.7659335366832636,1
222,2024-02-13,184.28,184.77,182.36,183.7,4290453,-0.07081767173285414,1
223,2024-02-12,185.9,186.48,184.03,186.16,4724021,-1.3391399020141534,1
224,2024-02-09,184.44,187.18,183.85,186.34,5064641,-0.09669101847873662,0
225,2024-02-08,182.63,184.55,181.49,184.36,5161185,1.0625737898465104,0
226,2024-02-07,183.34,184.02,182.625,183.74,4841188,0.33629854632241063,0
227,2024-02-06,183.55,184.68,183.04,183.41,3338196,0.17960161097204264,1
228,2024-02-05,185.51,185.78,183.255,183.42,4379602,-0.005452265416280966,1
229,2024-02-02,187.1,187.39,185.615,185.79,4055411,-1.292116454039899,1
230,2024-02-01,183.63,187.51,182.71,186.9,4669444,-0.5974487324398581,0
231,2024-01-31,187.05,187.65,183.14,183.66,8876055,1.7335473515248907,1
232,2024-01-30,187.71,188.65,186.77,187.87,4575058,-2.2922792115866315,0
233,2024-01-29,187.46,189.46,186.05,187.14,6107908,0.3885665619843621,1
234,2024-01-26,191.31,192.3896,186.16,187.42,9895941,-0.14962060489473572,1
235,2024-01-25,184.96,196.9,184.83,190.43,29596239,-1.6060185679223338,0
236,2024-01-24,174.76,174.86,172.9,173.93,9097827,8.664601165782699,1
237,2024-01-23,172.9,174.02,172.48,173.94,3983461,-0.005749439429663994,0
238,2024-01-22,172.82,174.45,172.4,172.83,4925964,0.6381510865815727,0
239,2024-01-19,170.59,171.5791,169.18,171.48,6929079,0.7811143898628785,0
240,2024-01-18,166.49,166.99,165.04,166.84,3776990,2.705854910193608,0
241,2024-01-17,166.79,167.82,165.495,166.08,4288604,0.45552625269719726,1
242,2024-01-16,165.8,167.25,165.34,166.96,4869635,-0.5298651252408462,0
243,2024-01-12,162.97,165.98,162.355,165.8,4958261,0.694777192141828,0
244,2024-01-11,161.02,162.23,160.29,162.16,3778395,2.1954161640530856,0
245,2024-01-10,160.28,161.34,159.74,161.23,2967852,0.5735076467686184,0
246,2024-01-09,160.0,160.4837,159.51,160.08,2617186,0.7132667617688782,1
247,2024-01-08,158.69,161.216,157.885,161.14,3321698,-0.6621689155422104,0
248,2024-01-05,159.91,160.55,158.67,159.16,4199504,1.2287451905175573,1
249,2024-01-04,160.22,161.81,160.17,160.86,3212004,-1.068107564714765,0
250,2024-01-03,161.0,161.73,160.08,160.1,4086065,0.4724605246798603,1
251,2024-01-02,162.83,163.29,160.46,161.5,3825044,-0.8744534665833896,end
